ordem;percentil;distancia_sexto_vizinho;distancia_geometrica_normalizada;eh_joelho
294;2.9302930293029306;0.04680934342854498;0.011451656083289893;False
295;2.9402940294029403;0.04682141698283539;0.011542696613065399;False
296;2.9502950295029504;0.04684807202605417;0.011622904521211109;False
297;2.9602960296029606;0.04685856124109105;0.011715122060258508;False
298;2.9702970297029703;0.04685856124109105;0.011815132061258605;False
299;2.98029802980298;0.046862260225960455;0.011912394077899808;False
300;2.99029902990299;0.04686368801376689;0.012011343372057778;False
301;3.0003000300030003;0.046876602264798485;0.01210175934629253;False
302;3.0103010301030104;0.04689157704696233;0.012190644547214507;False
303;3.0203020302030206;0.04689505457551685;0.012288071084260891;False
304;3.0303030303030303;0.04689744721307797;0.012386303589319105;False
305;3.0403040304030404;0.04694288075763159;0.012452560905674488;False
306;3.0503050305030506;0.0469822665783494;0.012523311089963771;False
307;3.0603060306030603;0.046988606883776075;0.012618610863493824;False
308;3.07030703070307;0.0470113686384986;0.012701711104609287;False
309;3.08030803080308;0.04715889731423569;0.01269212171341734;False
310;3.0903090309030903;0.047168787478218815;0.012784784288869054;False
311;3.1003100310031004;0.0471954112918478;0.012865015397548783;False
312;3.11031103110311;0.04722651334024582;0.012941919615328642;False
313;3.1203120312031203;0.04726220102264;0.013015417155076023;False
314;3.13031303130313;0.04727882118593639;0.013103079998573918;False
315;3.14031403140314;0.047302167223612725;0.013185746174540446;False
316;3.1503150315031503;0.047302167223612725;0.013285756175540547;False
317;3.16031603160316;0.04730905065319226;0.013380652460889469;False
318;3.17031703170317;0.04732458477719489;0.013469122125474176;False
319;3.1803180318031803;0.047377948526716424;0.013529488074337105;False
320;3.1903190319031904;0.04749944233948984;0.013539240042662999;False
321;3.2003200320032;0.04751142434227497;0.013630348586262143;False
322;3.2103210321032103;0.04754832490455658;0.013702945074754232;False
323;3.2203220322032204;0.04761985000125916;0.013749818917065768;False
324;3.2303230323032306;0.04762647660968985;0.013844905995436283;False
325;3.2403240324032403;0.04762647660968985;0.013944915996436383;False
326;3.2503250325032504;0.04762688742724112;0.014044620800133682;False
327;3.2603260326032606;0.04762688742724112;0.014144630801133783;False
328;3.2703270327032707;0.04764228253919405;0.014233203738089624;False
329;3.2803280328032804;0.04768553693288436;0.014301079950628546;False
330;3.29032903290329;0.0477198348294365;0.014375609965471377;False
331;3.3003300330033;0.04780405647720675;0.014413051510820986;False
332;3.31033103310331;0.04780585656486829;0.01451172422256114;False
333;3.32033203320332;0.047813271821731514;0.014606225412198998;False
334;3.3303330333033303;0.047829987958318665;0.014693816956918668;False
335;3.34033403340334;0.04784095455656726;0.014785679846881165;False
336;3.35033503350335;0.047883644933820954;0.014853975068526832;False
337;3.3603360336033603;0.047883644933820954;0.014953985069526932;False
338;3.3703370337033705;0.04790040609407514;0.015041543166060906;False
339;3.38033803380338;0.047903523719491976;0.015139237075975254;False
340;3.3903390339033903;0.04792292272074537;0.015224835514369761;False
341;3.4003400340034005;0.047934518324203326;0.01531623111491692;False
342;3.4103410341034106;0.04796401756460086;0.015394326062443228;False
343;3.4203420342034203;0.04803230344717105;0.01544360632437668;False
344;3.4303430343034305;0.048099608596396455;0.015493615175365474;False
345;3.4403440344034406;0.04813805993695056;0.015565059587115595;False
346;3.4503450345034508;0.0481577929808332;0.01565040986447329;False
347;3.4603460346034605;0.0481577929808332;0.01575041986547339;False
348;3.4703470347034706;0.048185840372186234;0.015829593394990866;False
349;3.48034803480348;0.048217967311278045;0.015905736219119337;False
350;3.49034903490349;0.048221756225617925;0.016002931426950286;False
351;3.5003500350035;0.048221756225617925;0.016102941427950386;False
352;3.5103510351035103;0.048320720543577854;0.016129430609740817;False
353;3.52035203520352;0.04833705912395475;0.01621730264183662;False
354;3.53035303530353;0.048352247546547905;0.016306029128792768;False
355;3.5403540354035403;0.04845337582515117;0.016330910699248982;False
356;3.5503550355035505;0.048456784329066485;0.016428388514858436;False
357;3.56035603560356;0.04846948580781548;0.01651896255811083;False
358;3.5703570357035703;0.048486918869977524;0.016606021497173582;False
359;3.5803580358035805;0.04850386800741373;0.016693439945027106;False
360;3.5903590359035906;0.048509085352877575;0.016789573968093857;False
361;3.6003600360036003;0.04850986541141824;0.016889004461811703;False
362;3.6103610361036105;0.04851953247289488;0.016981832780628123;False
363;3.6203620362036206;0.048525409259505374;0.017077476903351783;False
364;3.6303630363036308;0.04856023812745315;0.017151612458324753;False
365;3.6403640364036405;0.04861425969073626;0.017211489715832706;False
366;3.6503650365036506;0.048651613321703334;0.017283749618557314;False
367;3.6603660366036608;0.04869889265872107;0.0173486356914499;False
368;3.67036703670367;0.048700231766204895;0.017447650866423296;False
369;3.68036803680368;0.048722249033920084;0.01753130418864717;False
370;3.6903690369036903;0.04876533254017783;0.017599307353852404;False
371;3.7003700370037;0.04877899629499892;0.017689166519999747;False
372;3.71037103710371;0.04878401919101158;0.017785445000010586;False
373;3.7203720372037203;0.04882025781760836;0.01785853324204391;False
374;3.73037303730373;0.04883750672038776;0.017945728993535182;False
375;3.74037403740374;0.04887304242654244;0.018019339436780094;False
376;3.7503750375037503;0.04892205569223552;0.018082937370075595;False
377;3.7603760376037605;0.04892205569223552;0.018182947371075696;False
378;3.7703770377037706;0.04896676835763434;0.01824974023021159;False
379;3.7803780378037803;0.049016781563456215;0.018312595305687778;False
380;3.7903790379037905;0.04908799700608502;0.01835969919072223;False
381;3.8003800380038006;0.04913942709933236;0.01842150165727436;False
382;3.8103810381038103;0.04915352018561638;0.01851104187209139;False
383;3.8203820382038205;0.04920723396396735;0.018571147783732648;False
384;3.8303830383038306;0.049216965492568064;0.018663928209774465;False
385;3.840384038403841;0.04922382873657105;0.01875883949103459;False
386;3.850385038503851;0.04922382873657105;0.01885884949203469;False
387;3.86038603860386;0.049263581584944885;0.01892932701063496;False
388;3.87038703870387;0.04926851080009517;0.019025675086373713;False
389;3.88038803880388;0.04926851080009517;0.019125685087373813;False
390;3.89038903890389;0.04930236950204479;0.01920054138089603;False
391;3.9003900390039004;0.04930236950204479;0.019300551381896132;False
392;3.91039103910391;0.049311236227117125;0.0193939742724663;False
393;3.92039203920392;0.049314293200518285;0.01949171324090246;False
394;3.9303930393039304;0.04934945430155883;0.019565601979147418;False
395;3.9403940394039405;0.04935109727218818;0.019664391413491803;False
396;3.95039503950395;0.04939979649143187;0.019728222652616163;False
397;3.9603960396039604;0.04939985265891135;0.019828190926666697;False
398;3.9703970397039705;0.049458454814686435;0.019884665251487212;False
399;3.9803980398039807;0.049458454814686435;0.019984675252487313;False
400;3.9903990399039904;0.049460575772387;0.02008310958913819;False
401;4.000400040004001;0.04949423310407767;0.02015811548108849;False
402;4.010401040104011;0.049543665418498986;0.020221402102120905;False
403;4.02040204020402;0.0495690325289099;0.020302566818508953;False
404;4.030403040304031;0.04964429802080957;0.020346661912633998;False
405;4.040404040404041;0.04965338418527608;0.020439921781174014;False
406;4.05040504050405;0.04976563751745904;0.02045653852376305;False
407;4.06040604060406;0.04986363490823704;0.020483746037978715;False
408;4.07040704070407;0.04986880918448009;0.020579912057268557;False
409;4.08040804080408;0.05001063089379364;0.02057456238454596;False
410;4.09040904090409;0.05001326295788108;0.020672617019087618;False
411;4.100410041004101;0.05007245652617269;0.020728651982190677;False
412;4.11041104110411;0.0501088013036797;0.02080166136446888;False
413;4.12041204120412;0.05013397847551795;0.020882967186659;False
414;4.130413041304131;0.05014614023348997;0.020973942189716762;False
415;4.14041404140414;0.05015905899412098;0.021064354813759744;False
416;4.15041504150415;0.05016987528473834;0.02115632936760686;False
417;4.160416041604161;0.050189002401941525;0.021242129789287;False
418;4.17041704170417;0.05026678333694233;0.021284356154952305;False
419;4.180418041804181;0.050300898305048226;0.021359022067758186;False
420;4.190419041904191;0.050300898305048226;0.021459032068758287;False
421;4.2004200420042;0.05040172300763415;0.021484139166535327;False
422;4.210421042104211;0.05041306653268068;0.021575722036713554;False
423;4.220422042204221;0.05042247921441981;0.021668739334821475;False
424;4.23042304230423;0.05043701880667288;0.021757947839328124;False
425;4.24042404240424;0.05043701880667288;0.021857957840328224;False
426;4.25042504250425;0.050438263591943575;0.021957043087490496;False
427;4.26042604260426;0.050455495499449;0.022044251464809858;False
428;4.27042704270427;0.05046856364159478;0.022134553112982274;False
429;4.280428042804281;0.050479918235455626;0.022226127760112905;False
430;4.29042904290429;0.05053237365270682;0.02228716851110661;False
431;4.3004300430043;0.05053622231238253;0.022384319333990293;False
432;4.310431043104311;0.0505439725067369;0.022478571697796365;False
433;4.32043204320432;0.05055176709528088;0.022572791081056975;False
434;4.33043304330433;0.050624067420724214;0.022619089004155702;False
435;4.340434043404341;0.05066612535714802;0.022687854067547097;False
436;4.35043504350435;0.05073456154335569;0.022737022668562902;False
437;4.360436043604361;0.05074485319251742;0.022829386979752914;False
438;4.370437043704371;0.05076680978034177;0.022913085381207114;False
439;4.38043804380438;0.050769481630114716;0.023011110458871598;False
440;4.390439043904391;0.050804920070295904;0.023084793161231708;False
441;4.400440044004401;0.05080898089571947;0.0231817863656938;False
